transcript_id,chromosome,strand,transcript_length_nt,num_exons,num_junctions,start_codon_transcript,stop_codon_transcript,stop_codon_exon,last_junction_pos,distance_stop_to_junction,protein_length_aa,nmd_status
ENSMUST00000070533,1,-,3634,3,2,150,2091,3.0,1145,-946,647,NMD-insensitive
ENSMUST00000208660,1,-,4170,30,29,54,4167,,4080,-87,1371,NMD-insensitive
ENSMUST00000194992,1,-,858,4,3,0,855,,823,-32,285,NMD-insensitive
ENSMUST00000027032,1,-,6869,4,3,127,6412,4.0,920,-5492,2095,NMD-insensitive
ENSMUST00000027035,1,-,3127,5,4,1082,2339,5.0,1385,-954,419,NMD-insensitive
ENSMUST00000195555,1,-,1977,3,2,635,1508,3.0,561,-947,291,NMD-insensitive
ENSMUST00000192650,1,-,3242,4,3,1851,2913,4.0,1960,-953,354,NMD-insensitive
ENSMUST00000116652,1,-,1512,4,3,249,1506,4.0,553,-953,419,NMD-insensitive
ENSMUST00000130201,1,-,1894,5,4,33,645,5.0,579,-66,204,NMD-insensitive
ENSMUST00000156816,1,-,4203,5,4,62,947,5.0,608,-339,295,NMD-insensitive
ENSMUST00000045689,1,-,497,4,3,21,177,2.0,413,236,52,NMD-sensitive
ENSMUST00000146665,1,-,1569,4,3,62,566,4.0,485,-81,168,NMD-insensitive
ENSMUST00000134384,1,+,1136,10,9,126,798,9.0,856,58,224,NMD-sensitive
ENSMUST00000027036,1,+,2507,9,8,91,781,9.0,722,-59,230,NMD-insensitive
ENSMUST00000150971,1,+,877,8,7,84,747,8.0,539,-208,221,NMD-insensitive
ENSMUST00000119612,1,+,529,7,6,18,294,6.0,311,17,92,NMD-insensitive
ENSMUST00000115529,1,+,930,8,7,3,591,8.0,533,-58,196,NMD-insensitive
ENSMUST00000131119,1,+,660,8,7,223,232,4.0,515,283,3,NMD-sensitive
ENSMUST00000155020,1,+,825,10,9,22,208,4.0,789,581,62,NMD-sensitive
ENSMUST00000081551,1,+,2547,10,9,100,1003,10.0,988,-15,301,NMD-insensitive
ENSMUST00000165720,1,+,2854,10,9,370,1306,10.0,1291,-15,312,NMD-insensitive
ENSMUST00000002533,1,-,1778,5,4,160,877,5.0,687,-190,239,NMD-insensitive
ENSMUST00000118000,1,-,2125,6,5,108,1224,6.0,1033,-191,372,NMD-insensitive
ENSMUST00000119256,1,-,883,5,4,184,808,5.0,618,-190,208,NMD-insensitive
ENSMUST00000170566,1,-,577,4,3,0,117,2.0,385,268,39,NMD-sensitive
ENSMUST00000192847,1,+,1662,13,12,161,1484,13.0,1414,-70,441,NMD-insensitive
ENSMUST00000044369,1,+,2049,14,13,233,1682,14.0,1611,-71,483,NMD-insensitive
ENSMUST00000192698,1,+,1811,13,12,159,1554,13.0,1484,-70,465,NMD-insensitive
ENSMUST00000160777,1,+,4675,4,3,185,1325,4.0,792,-533,380,NMD-insensitive
ENSMUST00000027038,1,+,1376,4,3,151,1291,4.0,758,-533,380,NMD-insensitive
ENSMUST00000160339,1,+,2481,3,2,108,1248,3.0,716,-532,380,NMD-insensitive
ENSMUST00000027040,1,+,7607,24,23,467,5231,24.0,5133,-98,1588,NMD-insensitive
ENSMUST00000133144,1,+,971,5,4,113,494,4.0,505,11,127,NMD-insensitive
ENSMUST00000140079,1,+,5892,24,23,420,3555,24.0,3394,-161,1045,NMD-insensitive
ENSMUST00000131494,1,+,5720,23,22,242,3377,23.0,3217,-160,1045,NMD-insensitive
ENSMUST00000043578,1,+,5862,24,23,384,3519,24.0,3358,-161,1045,NMD-insensitive
ENSMUST00000150761,1,+,4264,23,22,256,3391,23.0,3231,-160,1045,NMD-insensitive
ENSMUST00000151281,1,+,3533,22,21,182,3317,22.0,3158,-159,1045,NMD-insensitive
ENSMUST00000163727,1,+,5604,22,21,126,3261,22.0,3102,-159,1045,NMD-insensitive
ENSMUST00000061280,1,+,5232,6,5,412,1483,6.0,1113,-370,357,NMD-insensitive
ENSMUST00000132064,1,-,4165,20,19,614,2162,20.0,1987,-175,516,NMD-insensitive
ENSMUST00000191683,1,-,4510,21,20,959,2507,21.0,2331,-176,516,NMD-insensitive
ENSMUST00000140295,1,-,4887,21,20,1333,2884,21.0,2708,-176,517,NMD-insensitive
ENSMUST00000140302,1,-,4056,18,17,1919,2480,11.0,3083,603,187,NMD-sensitive
ENSMUST00000115488,1,-,1554,17,16,0,1551,,1379,-172,517,NMD-insensitive
ENSMUST00000144593,1,-,3497,9,8,1323,1536,7.0,1613,77,71,NMD-sensitive
ENSMUST00000144177,1,+,3239,14,13,145,1540,14.0,1446,-94,465,NMD-insensitive
ENSMUST00000027044,1,+,2022,13,12,38,152,3.0,1299,1147,38,NMD-sensitive
ENSMUST00000130927,1,+,459,6,5,1,202,4.0,389,187,67,NMD-sensitive
ENSMUST00000088666,1,+,3256,6,5,385,1006,6.0,820,-186,207,NMD-insensitive
ENSMUST00000088658,1,-,4980,16,15,255,2508,16.0,2367,-141,751,NMD-insensitive
ENSMUST00000115468,1,-,2493,15,14,70,2143,15.0,2003,-140,691,NMD-insensitive
ENSMUST00000057438,1,-,9749,3,2,226,3886,3.0,3018,-868,1220,NMD-insensitive
ENSMUST00000166384,1,+,3706,17,16,262,1750,17.0,1566,-184,496,NMD-insensitive
ENSMUST00000188782,1,+,3762,18,17,333,1380,15.0,1694,314,349,NMD-sensitive
ENSMUST00000168907,1,+,3779,18,17,333,1821,18.0,1636,-185,496,NMD-insensitive
ENSMUST00000188738,1,+,2803,17,16,291,1290,14.0,1888,598,333,NMD-sensitive
ENSMUST00000188298,1,+,3099,18,17,268,472,4.0,1793,1321,68,NMD-sensitive
ENSMUST00000171265,1,+,3680,17,16,236,1724,17.0,1540,-184,496,NMD-insensitive
ENSMUST00000097826,1,+,2728,17,16,274,1762,17.0,1578,-184,496,NMD-insensitive
ENSMUST00000052843,1,+,2826,10,9,97,1138,10.0,1119,-19,347,NMD-insensitive
ENSMUST00000171802,1,+,2553,15,14,97,2140,15.0,1962,-178,681,NMD-insensitive
ENSMUST00000125294,1,+,2003,14,13,159,1971,14.0,1915,-56,604,NMD-insensitive
ENSMUST00000140948,1,+,3249,16,15,39,2115,16.0,2059,-56,692,NMD-insensitive
ENSMUST00000118098,1,+,2072,8,7,405,1479,8.0,1233,-246,358,NMD-insensitive
ENSMUST00000185184,1,-,4193,2,1,447,945,2.0,833,-112,166,NMD-insensitive
ENSMUST00000124874,1,-,1313,8,7,90,897,7.0,998,101,269,NMD-sensitive
ENSMUST00000027049,1,-,1425,9,8,155,1226,9.0,1109,-117,357,NMD-insensitive
ENSMUST00000130102,1,-,941,7,6,149,584,5.0,828,244,145,NMD-sensitive
ENSMUST00000027050,1,-,1698,8,7,315,1317,8.0,1228,-89,334,NMD-insensitive
ENSMUST00000186528,1,-,962,7,6,129,273,1.0,902,629,48,NMD-sensitive
ENSMUST00000071087,1,+,4355,30,29,138,3729,30.0,3491,-238,1197,NMD-insensitive
ENSMUST00000117415,1,+,1272,7,6,93,1026,7.0,573,-453,311,NMD-insensitive
